City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,saipan,15.1355,145.701,81.3,83,40,5.75,MP,1727716025
1,port-aux-francais,-49.35,70.2167,35.33,90,100,34.23,TF,1727716025
2,edinburgh of the seven seas,-37.0676,-12.3116,56.53,85,58,21.45,SH,1727716025
3,walvis bay,-22.9575,14.5053,59.52,57,0,22.88,NA,1727715860
4,blackmans bay,-43.0167,147.3167,55.72,65,93,1.99,AU,1727716025
5,puerto natales,-51.7236,-72.4875,45.05,53,40,23.02,CL,1727715919
6,grytviken,-54.2811,-36.5092,31.08,74,27,15.61,GS,1727716026
7,port mathurin,-19.6833,63.4167,72.41,84,0,21.81,MU,1727716026
8,chonchi,-42.6128,-73.8092,51.12,45,91,5.88,CL,1727715822
9,aasiaat,68.7098,-52.8699,36.1,87,100,4.65,GL,1727716026
10,terra santa,-2.1042,-56.4869,105.6,26,60,2.24,BR,1727716026
11,kasungu,-13.0333,33.4833,79.48,26,0,8.16,MW,1727716027
12,primero de mayo,-32.2552,-58.4228,92.82,42,87,13.56,AR,1727716027
13,tiksi,71.6872,128.8694,19.71,94,100,3.67,RU,1727716027
14,iqaluit,63.7506,-68.5145,43.7,70,83,3.0,CA,1727716027
15,adamstown,-25.066,-130.1015,65.82,67,33,6.62,PN,1727716027
16,tarnova,46.3167,21.8,51.15,58,83,7.25,RO,1727716027
17,puerto ayora,-0.7393,-90.3518,70.56,92,87,7.0,EC,1727716027
18,naracoorte,-36.9579,140.7383,48.27,99,17,6.53,AU,1727716027
19,mejit,10.2753,170.8646,78.67,85,100,9.15,MH,1727716028
20,alotau,-10.3069,150.4462,75.11,97,76,3.18,PG,1727716028
21,bikenibeu village,1.3673,173.1241,82.36,78,75,5.75,KI,1727716028
22,kiunga,-6.1219,141.2906,71.98,98,100,3.29,PG,1727716028
23,griffith,41.5284,-87.4237,75.06,71,100,6.91,US,1727716028
24,yaren,-0.5472,166.916,82.99,74,34,13.89,NR,1727716028
25,nguti,5.3299,9.4185,76.3,91,98,2.55,CM,1727716029
26,moree,-29.4667,149.85,55.78,52,0,5.82,AU,1727716029
27,port isabel,26.0734,-97.2086,90.03,66,40,5.99,US,1727716029
28,la'ie,21.6477,-157.9253,77.11,85,36,5.01,US,1727716029
29,hannibal,39.7084,-91.3585,78.35,57,40,0.0,US,1727715932
30,jamestown,42.097,-79.2353,70.02,77,100,4.0,US,1727715740
31,toliara,-23.35,43.6667,76.05,87,92,4.7,MG,1727716030
32,richards bay,-28.783,32.0377,61.86,88,100,2.26,ZA,1727716030
33,invercargill,-46.4,168.35,49.01,79,100,7.0,NZ,1727716030
34,verkhnevilyuysk,63.4453,120.3167,34.36,99,100,2.01,RU,1727716030
35,flying fish cove,-10.4217,105.6791,78.48,94,100,10.36,CX,1727716031
36,sao joao da barra,-21.6403,-41.0511,80.69,75,13,13.42,BR,1727716031
37,cockburn town,21.4612,-71.1419,83.68,73,5,9.78,TC,1727716031
38,gebeit,21.0667,36.3167,84.97,37,16,9.46,SD,1727716031
39,chui,-33.6971,-53.4616,78.64,65,95,10.16,UY,1727716031
40,bethel,41.3712,-73.414,71.69,64,0,6.91,US,1727716031
41,jesus de otoro,14.4833,-87.9833,83.86,62,100,3.2,HN,1727716031
42,udachny,66.4167,112.4,32.94,99,100,2.42,RU,1727716032
43,zabaykal'sk,49.6333,117.3167,33.35,53,53,13.44,RU,1727716032
44,gamba,-2.65,10.0,77.09,82,52,7.9,GA,1727716032
45,wailua homesteads,22.0669,-159.378,77.79,90,75,11.5,US,1727716032
46,st. john's,47.5649,-52.7093,60.57,86,75,6.91,CA,1727715952
47,cedeira,43.6797,-8.0209,62.98,100,99,9.93,ES,1727716032
48,ugurludag,40.4463,34.4526,60.84,62,96,12.53,TR,1727716033
49,avarua,-21.2078,-159.775,71.65,73,100,5.75,CK,1727716033
50,constantia,44.1833,28.65,48.88,90,100,30.06,RO,1727715841
51,broken hill,-31.95,141.4333,54.32,47,0,3.85,AU,1727716033
52,katsuura,35.1333,140.3,73.78,90,100,11.79,JP,1727716033
53,albany,42.6001,-73.9662,72.23,67,98,1.99,US,1727716034
54,acarau,-2.8856,-40.12,85.42,57,68,23.11,BR,1727716034
